"ID State","State","ID Year","Year","Population","Slug State"
"04000US01","Alabama","2020","2020","4893186","alabama"
"04000US02","Alaska","2020","2020","736990","alaska"
"04000US04","Arizona","2020","2020","7174064","arizona"
"04000US05","Arkansas","2020","2020","3011873","arkansas"
"04000US06","California","2020","2020","39346023","california"
"04000US08","Colorado","2020","2020","5684926","colorado"
"04000US09","Connecticut","2020","2020","3570549","connecticut"
"04000US10","Delaware","2020","2020","967679","delaware"
"04000US11","District of Columbia","2020","2020","701974","district-of-columbia"
"04000US12","Florida","2020","2020","21216924","florida"
"04000US13","Georgia","2020","2020","10516579","georgia"
"04000US15","Hawaii","2020","2020","1420074","hawaii"
"04000US16","Idaho","2020","2020","1754367","idaho"
"04000US17","Illinois","2020","2020","12716164","illinois"
"04000US18","Indiana","2020","2020","6696893","indiana"
"04000US19","Iowa","2020","2020","3150011","iowa"
"04000US20","Kansas","2020","2020","2912619","kansas"
"04000US21","Kentucky","2020","2020","4461952","kentucky"
"04000US22","Louisiana","2020","2020","4664616","louisiana"
"04000US23","Maine","2020","2020","1340825","maine"
"04000US24","Maryland","2020","2020","6037624","maryland"
"04000US25","Massachusetts","2020","2020","6873003","massachusetts"
"04000US26","Michigan","2020","2020","9973907","michigan"
"04000US27","Minnesota","2020","2020","5600166","minnesota"
"04000US28","Mississippi","2020","2020","2981835","mississippi"
"04000US29","Missouri","2020","2020","6124160","missouri"
"04000US30","Montana","2020","2020","1061705","montana"
"04000US31","Nebraska","2020","2020","1923826","nebraska"
"04000US32","Nevada","2020","2020","3030281","nevada"
"04000US33","New Hampshire","2020","2020","1355244","new-hampshire"
"04000US34","New Jersey","2020","2020","8885418","new-jersey"
"04000US35","New Mexico","2020","2020","2097021","new-mexico"
"04000US36","New York","2020","2020","19514849","new-york"
"04000US37","North Carolina","2020","2020","10386227","north-carolina"
"04000US38","North Dakota","2020","2020","760394","north-dakota"
"04000US39","Ohio","2020","2020","11675275","ohio"
"04000US40","Oklahoma","2020","2020","3949342","oklahoma"
"04000US41","Oregon","2020","2020","4176346","oregon"
"04000US42","Pennsylvania","2020","2020","12794885","pennsylvania"
"04000US44","Rhode Island","2020","2020","1057798","rhode-island"
"04000US45","South Carolina","2020","2020","5091517","south-carolina"
"04000US46","South Dakota","2020","2020","879336","south-dakota"
"04000US47","Tennessee","2020","2020","6772268","tennessee"
"04000US48","Texas","2020","2020","28635442","texas"
"04000US49","Utah","2020","2020","3151239","utah"
"04000US50","Vermont","2020","2020","624340","vermont"
"04000US51","Virginia","2020","2020","8509358","virginia"
"04000US53","Washington","2020","2020","7512465","washington"
"04000US54","West Virginia","2020","2020","1807426","west-virginia"
"04000US55","Wisconsin","2020","2020","5806975","wisconsin"
"04000US56","Wyoming","2020","2020","581348","wyoming"
"04000US72","Puerto Rico","2020","2020","3255642","puerto-rico"
